name,price,status,shipping,free_returns,items_sold
"Microsoft Surface Pro 5 i5-7300U 8GB RAM 256GB NVMe 12.3"" Touchscreen Pls Read",5949,Pre-Owned · Microsoft · 256 GB,1000,True,
HP 15.6 Touchscreen Laptop Computer • 2026 Edition • Intel 13th Gen i3-1315U CPU,20000,Brand New,1295,,
"Acer Chromebook 315 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB Refurbished",10999,Certified - Refurbished · Acer · 64 GB,0,True,120
"Lenovo IdeaPad Touchscreen Laptop Computer, 15.6"" FHD, Intel 10-Core i5-1334U, 2",30999,Brand New · Lenovo · 1 TB,0,,
"2026 Dell Inspiron 15 Laptop Touch Intel i5-1334U 12GB RAM 256GB SSD, Win 11 Pro",46900,✅ Fast Shipping ✅Lifetime MS Office ✅New Year Sale,0,True,
Dell Vostro 3500 15 Core i5 8GB 256GB Black 2021 - Good,16499,Good - Refurbished · Dell · 256 GB,0,True,
"Dell Latitude 5430 i5-1245U 2.5GHz 16.0GB RAM 512GB SSD WIN 11 PRO 14"" Laptop",19999,Pre-Owned · Dell,0,,
"Dell Latitude 5490 14"" i5-8250U@1.60GHz 16GB RAM 256GB NVMe Win 11 Pro WC854*!",9998,Pre-Owned · Dell,495,,
HP EliteBook 845 G7 Ryzen 5 PRO 4650U 16GB 256GB SSD Win11 Pro Renewed,28999,Certified - Refurbished · HP · 256 GB,0,True,9
HP Laptop Computer PC Workstation Gaming Core I7 32GB 1TB Windows 11 PRO OFFICE!,25999,Microsoft Office 2021 - One Year Warranty - HDMI - USBC,0,,
OVERSTOCK~ 11.6 HP Pro X360 Laptop PC: TouchScreen! Webcam! Windows 11 Pro!,12994,4GB RAM ~ 63GB SSD! 1 Year Warranty!,0,True,43
"ACEMAGIC 15.6"" Laptop Sliver Intel 12th Alder Lake N95 16GB RAM 512GB NOTEBOOK",18999,Certified - Refurbished · Acemagic,0,True,
"ASUS VivoBook Laptop Intel Core Ultra 7 256V 16GB 1 TB SSD 14"" Touch W11H",59199,"Shop With Confidence, Buy From Newegg",0,True,103
"Acer TravelMate B311-31 11.6"" N100 3.40GHz/8GB/128GB (Black) N23C1 - w/Warranty",10700,Very Good - Refurbished · Acer,0,True,141
Dell Latitude 5440 10-Core i7-1365U 5.20GHz 256GB SSD 16GB RAM Windows 11 Pro,34000,Pre-Owned · Dell,0,,80
Dell 3100 2-in-1 Touchscreen Laptop Windows 11 Installed Thanks Giving Gift Set,9000,"Refurbished, Come with Charger Adapter. Windows 11 Pro",0,,121
HP ChromeBook 11 G5 Laptop TouchScreen With Windows 11 Pro Birthday Gift Set,9000,"Refurbished, Come with Charger Adapter. Windows 11 Pro",0,,
"Dell Latitude 3190 2 in 1 11.6"" Intel N5030 @1.10GHz 4GB 128GB SSD",9112,Brand New · Dell,0,,
Cyber Special - Dell Latitude 5520 Laptop - 2.6 GHz i5-1145G7 16GB 512GB - Touch,24800,Pre-Owned · Dell,0,True,751
"HP Essential Laptop Computer 15.6"" HD Intel Core i5 8 GB memory;256 GB SSD",41999,Save $530 instantly,0,True,
